GroupName,ShortTitle,FullTitle,URL,IsPublic
実況,ASAS,アジア地上解析図,https://www.data.jma.go.jp/fcd/yoho/data/wxchart/quick/202208/ASAS_COLOR_202208251200.svgz?sanitize=true,true
実況,ASAS 過去,アジア地上解析図過去,https://www.data.jma.go.jp/fcd/yoho/wxchart/quickmonthly.html,true
実況,,High Level Siginificant Weather Charts,https://www.aviationweather.gov/data/products//swh/20220825/20220825_06_F24_sigwx_hi_m.gif,true
実況,,日本周辺気圧配置図＆降水,https://www.tropicaltidbits.com/analysis/models/?model=gfs&region=wpac&pkg=mslp_pcpn&fh=6,false
実況,AUXN50,北半球500hPa高度・気温,https://n-kishou.com/ee/exp/exp01.html?cd=auxn50,false
実況,AXFE578,極東850hPa気温・風/700hPa上昇流/500hPa高度・渦度,https://n-kishou.com/ee/exp/exp01.html?cd=axfe578,false
数値天気予報図,,アジア地上気圧、850hPa気温／500hPa高度・渦度予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/feas502_12.pdf,true
数値天気予報図,,[00UTC]アジア太平洋250hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa252_00.pdf,true
数値天気予報図,,[00UTC]アジア太平洋300hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa302_00.pdf,true
数値天気予報図,,[00UTC]アジア太平洋400hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa402_00.pdf,true
数値天気予報図,,[00UTC]アジア太平洋500hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa502_00.pdf,true
数値天気予報図,,[00UTC]極東850hPa気温・風、700hPa上昇流／700hPa湿数、500hPa気温予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxfe5782_00.pdf,true
数値天気予報図,,[00UTC]極東地上気圧・風・降水量／500hPa高度・渦度予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxfe502_00.pdf,true
数値天気予報図,,[00UTC]日本850hPa相当温位・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxjp854_00.pdf,true
数値天気予報図,,[12UTC]アジア太平洋250hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa252_12.pdf,true
数値天気予報図,,[12UTC]アジア太平洋300hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa302_12.pdf,true
数値天気予報図,,[12UTC]アジア太平洋400hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa402_12.pdf,true
数値天気予報図,,[12UTC]アジア太平洋500hPa高度・気温・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fupa502_12.pdf,true
数値天気予報図,,[12UTC]極東850hPa気温・風、700hPa上昇流／700hPa湿数、500hPa気温予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxfe5782_12.pdf,true
数値天気予報図,,[12UTC]極東地上気圧・風・降水量／500hPa高度・渦度予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxfe502_12.pdf,true
数値天気予報図,,[12UTC]日本850hPa相当温位・風予想図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/fxjp854_12.pdf,true
FXFE,,FXFE572/FXFE782 [00UTC],https://www.jma.go.jp/jmh/wmapimgs/fxfe57782_00_large.png,true
FXFE,,FXFE572/FXFE782[12UTC],https://www.jma.go.jp/jmh/wmapimgs/fxfe57782_12_large.png,true
高層天気図,AUXN50 [12UTC],北半球500hPa高度・気温天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/auxn50_12.pdf,true
高層天気図,FEAS50 [12UTC],アジア地上気圧、850hPa気温／500hPa高度・渦度天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/feas50_12.pdf,true
高層天気図,AUPA20 [00UTC],アジア太平洋200hPa高度・気温・風・圏界面天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupa20_00.pdf,true
高層天気図,AUPA25 [00UTC],アジア太平洋250hPa高度・気温・風天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupa25_00.pdf,true
高層天気図,AUPN30 [00UTC],北太平洋300hPa高度・気温・風天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupn30_00.pdf,true
高層天気図,AUPQ35 [00UTC],アジア500hPa・300hPa高度・気温・風・等風速線天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupq35_00.pdf,true
高層天気図,AUPQ78 [00UTC],アジア850hPa・700hPa高度・気温・風・湿数天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupq78_00.pdf,true
高層天気図,AXFE578 [00UTC],極東850hPa気温・風、700hPa上昇流／500hPa高度・渦度天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/axfe578_00.pdf,true
高層天気図,AXJP140 [00UTC],高層断面図（風・気温・露点等）東経130度／140度解析,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/axjp140_00.pdff,true
高層天気図,AUPA20 [12UTC],アジア太平洋200hPa高度・気温・風・圏界面天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupa20_12.pdf,true
高層天気図,AUPA25 [12UTC],アジア太平洋250hPa高度・気温・風天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupa25_12.pdf,true
高層天気図,AUPN30 [12UTC],北太平洋300hPa高度・気温・風天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupn30_12.pdf,true
高層天気図,AUPQ35 [12UTC],アジア500hPa・300hPa高度・気温・風・等風速線天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupq35_12.pdf,true
高層天気図,AUPQ78 [12UTC],アジア850hPa・700hPa高度・気温・風・湿数天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/aupq78_12.pdf,true
高層天気図,AXFE578 [12UTC],極東850hPa気温・風、700hPa上昇流／500hPa高度・渦度天気図,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/axfe578_12.pdf,true
高層天気図,AXJP140 [12UTC],高層断面図（風・気温・露点等）東経130度／140度解析,https://www.jma.go.jp/bosai/numericmap/data/nwpmap/axjp140_12.pdf,true
空域の情報,,国内悪天予想図,https://www.data.jma.go.jp/airinfo/data/awfo_fbjp.html#contents_area2,true
空域の情報,,国内悪天12時間予想図,https://www.data.jma.go.jp/airinfo/awfo_fbjp112/awfo_fbjp112.html,true
空域の情報,,下層悪天予想図,https://www.data.jma.go.jp/airinfo/data/awfo_low-level_sigwx.html#contents_area2,true
空域の情報,,下層悪天予想図（詳細版）,https://www.data.jma.go.jp/airinfo/data/awfo_low-level_detailed-sigwx.html,true
空域の情報,,シグメット情報,https://www.data.jma.go.jp/airinfo/data/awfo_sigmet.html#contents_area2,true
空域の情報,,全国航空気象解説報(福岡FIR),https://www.data.jma.go.jp/airinfo/data/awfo_ajpn_cmnt_fukuokafir.html#contents_area2,true
空域の情報,,全国航空気象解説報(国内空域),https://www.data.jma.go.jp/airinfo/data/awfo_ajpn_cmnt_airspace.html#contents_area2,true
SSI,,SSI,http://weather-gpv.info/,true
SSI,,不安定度,https://www.tono2.net/stab/,false
解析情報,,雷監視システム,https://www.jma.go.jp/bosai/nowc/#lat:34.016242/lon:134.978027/zoom:5/colordepth:normal/elements:hrpns&slmcs,true
解析情報,,雷発生確率,http://www.imocwx.com/guid.php?Type=3,false
解析情報,,積乱雲情報,https://www.data.jma.go.jp/omaad/aviation/jp/cci/#zoom:6/lat:28.052591/lon:136.999512/colordepth:normal/elements:cci,true
解析情報,,毎時大気解析,https://www.data.jma.go.jp/airinfo/data/awfo_maiji.html#contents_area2,true
解析情報,,ウィンドプロファイラ,https://www.jma.go.jp/bosai/map.html#5/34.5/137/&contents=windprofiler,true
解析情報,,気象衛星霧プロダクト,https://www.data.jma.go.jp/omaad/aviation/jp/fog/#zoom:6/lat:28.052591/lon:137.010498/colordepth:normal/elements:fog,true
解析情報,,積乱雲情報,https://www.data.jma.go.jp/omaad/aviation/jp/cci/#zoom:6/lat:28.052591/lon:135.252686/colordepth:normal/elements:cci,true
衛星画像,,日本全国の赤外線画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=ir&contents=himawari,true
衛星画像,,日本全国の可視画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=vis&contents=himawari,true
衛星画像,,日本全国の水蒸気画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=vap&contents=himawari,true
衛星画像,,トウルーカラー再現画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=color&contents=himawari,true
衛星画像,,雲頂強調画像,https://www.jma.go.jp/bosai/map.html#4/34.416/141.592/&elem=strengthen&contents=himawari,true
衛星画像,,全球可視画像,https://www.jma.go.jp/bosai/map.html#5/40.996/135/&elem=s_vis&contents=himawari,true
